URL,DOI,Title,Abstract,Views,Downloads,Author,Affiliation,ORCID,Created,Updated,License,Keywords
"https://zenodo.org/api/records/5470604","10.5281/zenodo.5470604","Research Capacity - Reality, Equality, Equity","<p><strong>At <em>Access 2 Perspectives</em>, we understand <em>global </em><em>equity in scholarly communication</em> as the opportunity for researchers from around the world being able to consume and share research output based on Open Science, FAIR and CARE principles. Since research capacity varies drastically within and across world regions, local conditions such as available funding, research infrastructure, or internet connectivity should not interfere with the potential of academic success.</strong></p>",130,36,"Havemann, Jo","Access 2 Perspectives","0000-0002-6157-1494","2021-09-06","2021-09-07","CC-BY-4.0","Open Science, Open Access, Equity, Scholarship, Open Data, FAIR principles, CARE principles"
"https://zenodo.org/api/records/5377165","10.5281/zenodo.5377165","Challenges and Possible Solutions for Wildlife Conservation in Ethiopia","<p><em>Ethiopia is endowed with a large variety of native plant and animal species within its diverse climate and topography. Around 320 mammalian species, including 39 endemics, 918 bird species, including 19 endemics, 240 reptile species (16 endemics), 71 amphibian species (30 endemics), 172 freshwater fish species, including 38 endemics, and more than 1225 insect species have been scientifically reported in Ethiopia. However, Ethiopia&#39;s wildlife is in peril right now. Therefore this review was aimed to identify the major challenges of wildlife conservation in Ethiopia and to suggest a possible solution based on the review results. Deforestation, road kills of wildlife along highways, wildlife trafficking, lack of law enforcement, climate change, human-wildlife conflict, and land-use change are the identified challenges of wildlife conservation in Ethiopia. Develop a collaborative approach, invasive species utilization, promote community involvement and awareness creation are the suggested strategy that can bring solutions to the challenges of wildlife conservation.</em></p>",18,1,"Dida Abkiyo","Oromia Agricultural Research Institute","0000-0003-2768-4628","2021-09-02","2021-09-06","CC-BY-4.0",
"https://zenodo.org/api/records/5348364","10.5281/zenodo.5348364","Is there Evidence of Viewpoint Discrimination Against Academic Research from the Global South: Implications for Global Justice, Institutionalized Racism, and Global Inequalities in Healthcare","<p><strong>Abstract</strong></p>

<p>It has been suggested that the ultimate function of academic research is not simply publication in arcane journals, but to assist in rebuilding our social realities. Therefore, free access to information is could be considered a basic human right in the current information age. Mutual exchange of scientific knowledge between developed and developing countries maybe essential for reducing global health inequalities and improving human development index (HDI). For instance, free exchange of biomedical research information could be of enormous benefit in bridging the 10/90 gap, whereby 90% of global research funding is directed towards finding cures for diseases affecting 10% of human populations. However, recent scientometric analysis of worldwide publications revealed that researchers from developing countries produced approximately 10% of global academic publications, while those from Europe, North America, and China, produce over 80% of scientific publications. This skewed publication data maybe attributed not only to resource constraints in developing countries, but other factors like institutionalized racism, bias against diseases of poverty, Mathew effect, and poor representation of developing country researchers in editorial/advisory boards of high impact international scientific journals. This paper interrogates the evidence for such discriminatory practices, from the perspectives of viewpoint discrimination, global justice, and human rights. Minimizing such putative limitations on free speech may require improved diversity of journal editorial/advisory boards, better acknowledgment of joint technology innovations, and other affirmative actions, thereby assisting in closing the information gap, curtail global health inequities, and improve overall global human development index.</p>",10,10,"Chima, Sylvester C.","Programme of Bio & Research Ethics and Medical Law,  School of Nursing and Public Health and Nelson R Mandela School of Medicine, College of Health Sciences, University of KwaZulu-Natal, Durban, South Africa","0000-0001-7067-6469","2021-08-31","2021-09-02","CC-BY-4.0","Africa, bibliographic negligence, citation amnesia, developing countries, discrimination, free speech, global south, human development index, implicit bias, Mathew effect, systemic and institutionalized racism, viewpoint discrimination."
"https://zenodo.org/api/records/5345327","10.1108/S0065-283020150000039012","Open Peer Review: Fast Forward for a New Science","<p>Our article investigates a new way to implement peer review in light of the openness internet has .allowed . It reviews three sites (Electronic Transactions on Artificial Intelligence (ETAI), Atmospheric Chemistry and Physics (ACP), and Faculty of 1000 (F1000)) implementing this new weltenschaaung that has made one of the most closed step in scholarly communication open and made reviewers acountable of their reviews .It intends to make a process known for its closeness more transparent, less iniquitous, and more objective The article examines the different advantages and also drawbacks this openness has brought and conclude that more research is needed due to the newness of the experiments although it seems to elicit reserchers assent</p>",8,11,"Samir Hachani","ALGIERS UNIVERSTY II",,"2021-08-31","2021-09-02","CC-BY-4.0","Open peer review; traditional review biases; Faculty of 1000; Electronic Transactions on Artificial Intelligence; Atmospheric and Chemistry Proceedings"
"https://zenodo.org/api/records/5272640","10.5281/zenodo.5272640","Digital Surveillance and Digitally-disadvantaged Language Communities","<p>The issue of digital surveillance often falls outside urgent discussions regarding the need to build digital supports for under- resourced languages. While the benefits of these supports for digitally-disadvantaged language communities are clear, the reality is that standardized script use, standardized spelling, and NLP systems in particular increase a language community&rsquo;s legibility for digital surveillance. As we build digital supports for Indigenous and minority language communities, we must consider how these tools might be used against them through digital surveillance, and how to combat these risks.</p>",6,10,"Zaugg, Isabelle","Columbia University",,"2021-08-26","2021-08-27","CC-BY-4.0","digital surveillance, language diversity, Indigenous communities"
"https://zenodo.org/api/records/5269111","10.5281/zenodo.5269111","Imagining a Multilingual Cyberspace","<p>This chapter in the book &quot;Finding control: Visions for the Future Internet,&quot; addresses steps diverse&nbsp;stakeholders can take to build language equity in cyberspace.&nbsp; It draws on research on grassroots development of digital supports for Ethiopian and Eritrean languages written in the Ethiopic script, as well as the ongoing challenges that constrain the digital vitality of many languages across the globe.</p>",14,17,"Zaugg, Isabelle A.","Columbia University",,"2021-08-26","2021-08-27","CC-BY-4.0","digital equity, digital inequality, language justice, Ethiopia, Africa, scripts"
"https://zenodo.org/api/records/5154710","10.5281/zenodo.5154710","A dictionary and  grammatical sketch of Dagaare","<p>This book presents an extensive dictionary of the Dagaare language (Niger-Congo; Gur (Mabia)), focussing on the dialect of Central Dagaare, spoken in the Upper West region of Ghana. The dictionary provides comprehensive definitions, example sentences and the English translations, phonetic forms, inflected forms, etymological notes as well as information dialectal variation. This work is intended as a resource for linguists, but also as a resource for Dagaare speakers. Also included is a grammatical sketch of Dagaare contributed by Prof. Adams Bodomo.</p>

<p>This version includes the letter &quot;ky&quot;, which was previously missing.</p>",48,70,"Ali, Mark",,,"2021-08-12","2021-08-13","CC-BY-4.0","Dagaare language, grammar, dictionary, Ghana"
"https://zenodo.org/api/records/4737370","10.5281/zenodo.4737370","A grammar of Gyeli","<p>This grammar offers a grammatical description of the <em>Ng&ograve;l&oacute;</em> variety of Gyeli, an endangered Bantu (A80) language spoken by 4,000-5,000 &quot;Pygmy&quot; hunter-gatherers in southern Cameroon. It represents one of the most comprehensive descriptions of a northwestern Bantu language.</p>

<p>The grammatical description, which is couched in a form-to-function approach, covers all levels of language, ranging from Gyeli phonology to its information structure and complex clauses.</p>

<p>It draws on nineteen months of fieldwork carried out as part of the &quot;Bagyeli/Bakola&quot; DoBeS (Documentation of Endangered Languages) project between 2010 and 2014. The resulting multimodal corpus from that project, which includes texts of diverse genres such as traditional stories, narratives, multi-party conversations and dialogues, procedural texts, and songs, provides the empirical basis for the grammatical description. The documentary text collection, supplemented by data from elicitation work, questionnaires, and experiments, are accessible in the <a href=""https://dobes.mpi.nl/projects/bakola/"">Bagyeli/Bakola collection</a> of <em>The Language Archive</em>. With additional ethnographic, sociolinguistic, diachronic, and comparative remarks, the grammar may appeal to a wider audience in general linguistics, typology, Bantu studies, and anthropology.</p>

<p>In 2019, the grammar received the Pāṇini Award by the <em>Association for Linguistic Typology</em>.</p>",76,274,"Grimm, Nadine","University of Rochester",,"2021-07-27","2021-07-27","CC-BY-4.0",
"https://zenodo.org/api/records/5084435","10.5281/zenodo.5084435","Extracting transmission and recovery parameters for an adaptive global system dynamics model of the COVID-19 pandemic","<p>Accurately modelling the susceptibility, infection, and recovery of populations with regards to the COVID-19 pandemic is highly relevant for the implementation of counter- measures by governing bodies. In the past year, several thousands of articles on COVID-19 modelling were published. The spread of the pandemic has frequently been modelled using the Susceptible- Infected-Recovered (SIR) epidemic model owing to the low level of complexity. In recognition of its simplicity, we developed an SIR model to represent the spread of disease on a global scale, irrespective of mutation and countermeasures. The SIR parameters were reverse-engineered from aggregated global data. This model is the first to retrospectively deduce the initial incidence. The average transmission and recovery parameters were computed to be 0.33 week^{&minus;1} and 0.23 week^{&minus;1} , respectively. These values lie well within the range of reported values on COVID-19 determined from geographically different regions. The model was simulated in the Ventana&reg;&nbsp;simulation environment Vensim&reg;&nbsp;for a 65-weeks duration and an adjusted initial infection incidence, which was presumed three times the reported initial infection incidence. The simulated data visually aligns with the real incidence data. We attribute the discrepancy between the presumed initial value and the reported value to lack of testing facilities on the starting date of 1 March 2020. Our parameter extraction suggests a novel methodology to quantify undertesting retrospectively in epidemics.</p>",125,41,"Carlson, Craig S.","University of the Witwatersrand, Johannesburg","0000-0003-1059-1601","2021-07-09","2021-09-02","CC-BY-4.0","system dynamics, coronavirus model, SIR model, parameter extraction"
"https://zenodo.org/api/records/4549841","10.5281/zenodo.4549841","Representing COVID-19 information in collaborative knowledge graphs: the case of Wikidata","<p>Information related to the COVID-19 pandemic ranges from biological to bibliographic, from geographical to genetic and beyond. The structure of the raw data is highly complex, so converting it to meaningful insight requires data curation, integration, extraction and visualization, the global crowdsourcing of which provides both additional challenges and opportunities. Wikidata is an interdisciplinary, multilingual, open collaborative knowledge base of more than 90 million entities connected by well over a billion relationships. It acts as a web-scale platform for broader computer-supported cooperative work and linked open data, since it can be written to and queried in multiple ways in near real time by specialists, automated tools and the public. The main query language, SPARQL, is a semantic language used to retrieve and process information from databases saved in Resource Description Framework (RDF) format.&nbsp;</p>

<p>Here, we introduce four aspects of Wikidata that enable it to serve as a knowledge base for general information on the COVID-19 pandemic: its flexible data model, its multilingual features, its alignment to multiple external databases, and its multidisciplinary organization. The rich knowledge graph created for COVID-19 in Wikidata can be visualized, explored and analyzed for purposes like decision support as well as educational and scholarly research.</p>",233,31,"Houcemeddine Turki","Faculty of Medicine of Sfax, University of Sfax, Sfax, Tunisia","0000-0003-3492-2014","2021-06-22","2021-06-23","CC-BY-4.0","Public health surveillance, Wikidata, Knowledge graph, COVID-19, SPARQL, Community curation, FAIR data, Linked Open Data"
